post_title,sku,stock,regular_price,sale_price,whole_price,weight,product_url,low_stock_amount,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_brand,attribute_data:pa_brand,attribute_default:pa_brand,attribute:pa_gift-card-amount,attribute_data:pa_gift-card-amount,attribute_default:pa_gift-card-amount,attribute:pa_line,attribute_data:pa_line,attribute_default:pa_line,attribute:pa_number,attribute_data:pa_number,attribute_default:pa_number
The Ordinary Niacinamide 10%+Zinc1%,CF8101,0,1350,1290,,,,1,simple,outofstock|rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Serum &amp; Oil|Cosmetics > Skin &amp; Personal Care,,,The Ordinary,0|1|0,,,,,The Ordinary Face Serum &amp; Oil,1|1|0,,20,2|0|0,
Milani Amore Matte Lip Creme – 18 Obsession,L42018,7,950,890,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Milani,0|1|0,,,,,Milani Lipstick,1|1|0,,20,2|0|0,
Wet n Wild Mega Volume Amplified Boosts Mascara - C156A Very Black,E2601,8,580,490,,,,1,simple,rated-5,Cosmetics|Cosmetics > Makeup > Eye Makeup|Cosmetics > Makeup|Cosmetics > Makeup > Eye Makeup > Mascara,,,Wet n Wild,0|1|0,,,,,Wet n Wild Mascara,1|1|0,,20,2|0|0,
Vaseline Lip Therapy - Original,L2801,12,250,150,,,,1,simple,rated-5,Buy 2 Get 1 Free|Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lip Balm|Cosmetics > Non Discounted,,,Vaseline,0|1|0,,,,,Vaseline Lip Balm,1|1|0,,20,2|0|0,
Vaseline Lip Therapy - Aloe,L3101,8,250,150,,,,1,simple,rated-5,Buy 2 Get 1 Free|Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lip Balm|Cosmetics > Non Discounted,,,Vaseline,0|1|0,,,,,Vaseline Lip Balm,1|1|0,,20,2|0|0,
Vaseline Lip Therapy - Mirror,L3201,4,250,150,,,,1,simple,rated-5,Buy 2 Get 1 Free|Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lip Balm|Cosmetics > Non Discounted,,,Vaseline,0|1|0,,,,,Vaseline Lip Balm,1|1|0,,20,2|0|0,
Herbal Essences Cucumber & Green Tea Shampoo,H5501,3,950,850,,,,1,simple,rated-5,Cosmetics|Cosmetics > Hair|Cosmetics > Hair > Hair Care|Cosmetics > Hair > Hair Care > Shampoo,,,Herbal Essences,0|1|0,,,,,Herbal Essences Shampoo,1|1|0,,20,2|0|0,
Herbal Essences Revitalise Micellar Water & Blue Ginger Shampoo,H5601,4,950,850,,,,1,simple,rated-5,Cosmetics|Cosmetics > Hair|Cosmetics > Hair > Hair Care|Cosmetics > Hair > Hair Care > Shampoo,,,Herbal Essences,0|1|0,,,,,Herbal Essences Shampoo,1|1|0,,20,2|0|0,
Herbal Essences Clean White Strawberry & Sweet Mint Shampoo,H5701,1,950,850,,,,1,simple,rated-5,Cosmetics|Cosmetics > Hair|Cosmetics > Hair > Hair Care|Cosmetics > Hair > Hair Care > Shampoo,,,Herbal Essences,0|1|0,,,,,Herbal Essences Shampoo,1|1|0,,20,2|0|0,
XPEL Argon Oil Hydrating Hair Mask,H4401,1,350,320,,,,,simple,rated-5,Cosmetics|Cosmetics > Hair|Cosmetics > Hair > Hair Care|Cosmetics > Hair > Hair Care > Hair Cream &amp; Masks,,,XPEL,0|1|0,,,,,XPEL Hair Mask,1|1|0,,20,2|0|0,
Nior No Transfer Matte Lipstick Pencil - 4,L2604,3,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Nior,0|1|0,,,,,Nior Lipstick,1|1|0,,20,2|0|0,
Nior No Transfer Matte Lipstick Pencil - 6,L2606,4,350,320,,,,1,simple,rated-5,Cosmetics|Cosmetics > Lip|Cosmetics > Lip > Lipstick,,,Nior,0|1|0,,,,,Nior Lipstick,1|1|0,,20,2|0|0,
